nakama102  | + /nakama/nakama migrate up --database.address local:localdb@postgres:5432/nakama
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.261Z","caller":"server/leaderboard_rank_cache.go:201","msg":"Leaderboard rank cache initialization completed successfully","cached":[],"skipped":[],"duration":"874.916µs"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.261Z","caller":"server/runtime.go:674","msg":"Initialising runtime event queue processor"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.261Z","caller":"server/runtime.go:676","msg":"Runtime event queue processor started","size":65536,"workers":8}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.261Z","caller":"server/runtime_go.go:2967","msg":"Initialising Go runtime provider","path":"/nakama/data/modules"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"runtime/main.go:66","msg":"bootstrap runtime loaded, configs ready","runtime":"go"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime_go.go:2991","msg":"Go runtime modules loaded"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime_lua.go:119","msg":"Initialising Lua runtime provider","path":"/nakama/data/modules"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime_lua.go:1276","msg":"Lua runtime modules loaded"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime_lua.go:1279","msg":"Allocating minimum Lua runtime pool","count":16}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime_lua.go:1287","msg":"Allocated minimum Lua runtime pool"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime_javascript.go:654","msg":"Initialising JavaScript runtime provider","path":"/nakama/data/modules","entrypoint":""}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime_javascript.go:1775","msg":"JavaScript runtime modules loaded"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime_javascript.go:1778","msg":"Allocating minimum JavaScript runtime pool","count":16}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime_javascript.go:1786","msg":"Allocated minimum JavaScript runtime pool"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime.go:767","msg":"Found runtime modules","count":1,"modules":["backend.so"]}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime.go:798","msg":"Registered Go runtime RPC function invocation","id":"get_player_profile"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/runtime.go:2325","msg":"Registered Go runtime After function invocation","id":"authenticatecustom"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/leaderboard_scheduler.go:113","msg":"Leaderboard scheduler start"}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/leaderboard_scheduler.go:310","msg":"Leaderboard scheduler update","end_active":"-1ns","end_active_count":0,"expiry":"-1ns","expiry_count":0}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.266Z","caller":"server/api.go:159","msg":"Starting API server for gRPC requests","port":8359}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.268Z","caller":"server/api.go:329","msg":"Starting API server gateway for HTTP requests","port":8360}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.269Z","caller":"server/console.go:176","msg":"Starting Console server for gRPC requests","port":8358}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:05.270Z","caller":"server/console.go:372","msg":"Starting Console server gateway for HTTP requests","port":8361}
nakama102  | {"level":"info","ts":"2026-07-15T10:15:06.640Z","caller":"main.go:243","msg":"Startup done"}
