nakama  | + /nakama/nakama migrate up --database.address local:localdb@postgres:5432/nakama
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.695Z","caller":"server/runtime_javascript.go:1778","msg":"Allocating minimum JavaScript runtime pool","count":16}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.695Z","caller":"server/runtime_javascript.go:1786","msg":"Allocated minimum JavaScript runtime pool"}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.695Z","caller":"server/runtime.go:767","msg":"Found runtime modules","count":1,"modules":["backend.so"]}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.695Z","caller":"server/runtime.go:798","msg":"Registered Go runtime RPC function invocation","id":"get_player_profile"}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.695Z","caller":"server/runtime.go:2325","msg":"Registered Go runtime After function invocation","id":"authenticatecustom"}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.695Z","caller":"server/leaderboard_scheduler.go:113","msg":"Leaderboard scheduler start"}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.695Z","caller":"server/leaderboard_scheduler.go:310","msg":"Leaderboard scheduler update","end_active":"-1ns","end_active_count":0,"expiry":"-1ns","expiry_count":0}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.695Z","caller":"server/api.go:159","msg":"Starting API server for gRPC requests","port":7349}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.697Z","caller":"server/api.go:329","msg":"Starting API server gateway for HTTP requests","port":7350}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.698Z","caller":"server/console.go:176","msg":"Starting Console server for gRPC requests","port":7348}
nakama  | {"level":"info","ts":"2026-06-08T07:05:31.698Z","caller":"server/console.go:372","msg":"Starting Console server gateway for HTTP requests","port":7351}
nakama  | {"level":"info","ts":"2026-06-08T07:05:34.175Z","caller":"main.go:243","msg":"Startup done"}
